emotion,type,intensity,petal-color,color,+intense,-intense,opposite,similar-words,sensations,message,purpose,combo-emotion-0,combo-emotion-1,combo-explanation
asco,base,medio,#8973b3,#a390c4,repugnancia,aburrimiento,confianza,Desconfianza; rechazo,Amargura; sensación de rechazo,Algo va mal; se están infringiendo las normas,Ayuda a darse cuenta de algo peligroso o incorrecto,,,
repugnancia,base,alto,#8973b3,#8973b3,,asco,admiración,Malestar; horror,Amargura,Se están infringiendo los valores fundamentales,Proporciona energía para bloquear algo vil,,,
molestia,base,bajo,#f05b61,#f48d80,rabia,,aprehensión,Frustración,Ligera agitación,Hay algo sin resolver,Permite detectar pequeños problemas,,,
ira,base,alto,#f05b61,#f2736d,,rabia,miedo,Ferocidad,Fuerza; calor,Hay un obstáculo,Puede proporcionar energía para superar un obstáculo,,,
rabia,base,medio,#f05b61,#f05b61,ira,molestia,terror,Abrumador; furia,Aceleración del ritmo cardíaco; reacción impulsiva,Esta situación me está impidiendo hacer algo esencial,Puede ayudarte a afrontar un obstáculo,,,
interés,base,bajo,#f6923d,#fcc487,anticipación,,distracción,Apertura; observación,Ligera curiosidad,Podría surgir algo útil,Permite prestar atención y explorar,,,
anticipación,base,medio,#f6923d,#f9ad66,vigilancia,interés,sorpresa,Curiosidad; reflexión,Atención; exploración,Se está produciendo un cambio,Permite mirar hacia adelante y observar lo que podría suceder,,,
vigilancia,base,alto,#f6923d,#f6923d,,anticipación,asombro,Concentración,Máxima concentración,Se avecina algo importante,"Permite prepararse, observar con atención y permanecer alerta",,,
agresividad,intermediate,,#f05b61,#f3774f,,,,,Tensión corporal; impulso de moverse,Es necesario hacer frente a una amenaza inminente,Ayuda a prepararse para reaccionar rápidamente ante las amenazas,rabia,anticipación,La ira significa que algo nos está bloqueando. La anticipación tiene que ver con la atención al futuro. Cuando se combinan
optimismo,intermediate,,#f6923d,#fbae21,,,,,Energía; motivación,El futuro ofrece mejores oportunidades,Fomenta la generación de opciones y motiva la acción,anticipación,alegría,La anticipación tiene que ver con la atención al futuro. La alegría tiene que ver con que las cosas vayan bien. Cuando se combinan
desprecio,intermediate,,#8973b3,#bd678a,,,,,Calor corporal; tensión,Se percibe que algo está mal,Fomenta el respeto por las normas o reglas compartidas,asco,ira,El asco indica una violación de las normas o reglas. La ira significa que algo nos está bloqueando. Cuando se combinan
temor,intermediate,,#00a551,#009f8f,,,,,Activación repentina,Ha surgido repentinamente una situación de alto riesgo,Activa una respuesta rápida ante amenazas; prepara para la acción inmediata.,miedo,sorpresa,El miedo significa que algo que nos importa está en peligro. La sorpresa nos indica que algo es inesperado. Cuando se combinan
amor,intermediate,,#8ac650,#c5c82b,,,,,Calma; calidez interior,Existe una profunda conexión con una o más personas,Crea una base de seguridad que fomenta el crecimiento y el desarrollo.,alegría,confianza,La alegría se refiere a que las cosas van bien. La confianza es una señal de seguridad y conexión. Cuando se combinan
remordimiento,intermediate,,#2983c5,#597bbc,,,,,Pesadez interior; malestar corporal,Existe una responsabilidad con respecto a algo importante,Fomenta la responsabilidad y anima a reparar.,tristeza,asco,La tristeza nos indica que estamos perdiendo a alguien o algo que amamos. El asco indica una violación de las normas o reglas. Cuando se combinan por lo que hemos hecho
desaprobación,intermediate,,#0099cd,#158ec9,,,,,Tensión muscular; sensación de vacío,Ha surgido repentinamente un acontecimiento desagradable o doloroso,Ayuda a centrar la atención en el problema o la pérdida; moviliza los recursos emocionales para abordarlo.,sorpresa,tristeza,La sorpresa nos indica que algo es inesperado. La tristeza nos indica que estamos perdiendo a alguien o algo que amamos. Cuando se combinan
sumisión,intermediate,,#8ac650,#45b651,,,,,Tensión; contracción,Parece necesario confiar en esta persona o institución para mantenerse a salvo,Reduce la percepción de exposición a una amenaza mayor al transferir el control al exterior.,confianza,miedo,La confianza es una señal de seguridad y conexión. El miedo significa que algo que nos importa está en peligro. Cuando se combinan
